cust_id,segment,industry,region,facility_type,ead,rating_internal,leverage_ratio,interest_cover,ebitda_margin,years_in_business,past_due_12m,restructuring_flag,collateral_coverage,default_flag,dpd_band,dpd_points
790,MidCorp,Transport,GCC,TermLoan,11200915,9,2.01,3.84,22.6,1,3,0,0.65,0,Mild Deterioration,55
791,LargeCorp,Retail,GCC,TermLoan,105868650,8,1.07,1.97,-0.6,9,2,0,0.8,0,Mild Deterioration,55
792,LargeCorp,Manufacturing,Asia,TradeFinance,74262622,8,2.69,4.06,12.8,1,2,0,0.74,0,Mild Deterioration,55
793,SmallCorp,Manufacturing,Europe,TermLoan,1552660,10,2.24,2.06,13.7,10,5,1,0.83,0,Restructured Account,95
794,MidCorp,Services,GCC,TermLoan,2604157,5,0.93,1.79,17.3,9,0,0,0.56,0,Clean Behaviour,35
795,MidCorp,Transport,GCC,Revolver,10786467,5,2.8,6.73,15.8,3,0,0,0.68,0,Clean Behaviour,35
796,LargeCorp,Transport,GCC,TradeFinance,66900251,7,1.08,1.07,17.8,16,1,0,0.92,0,Mild Deterioration,55
797,MidCorp,Energy,GCC,TradeFinance,14142830,6,2.78,1.07,25.7,3,0,0,0.93,0,Clean Behaviour,35
798,MidCorp,Manufacturing,GCC,TermLoan,10665086,6,3.43,5.68,18.5,15,0,0,0.81,0,Clean Behaviour,35
799,MidCorp,Construction,Europe,TermLoan,14352889,4,1.97,3.42,20.3,15,0,0,0.96,0,Clean Behaviour,35
800,MidCorp,Construction,Europe,Revolver,14539888,2,1.27,6.51,22.7,9,0,0,0.75,0,Clean Behaviour,35
801,MidCorp,Services,Africa,Overdraft,9946461,5,1.33,0.1,0.1,15,0,0,0.85,0,Clean Behaviour,35
802,MidCorp,Retail,GCC,Overdraft,8221115,5,2.99,3.47,8.8,8,0,0,0.7,1,Clean Behaviour,35
803,LargeCorp,Transport,GCC,Overdraft,39082851,3,1.87,5.38,30.8,18,0,0,0.63,0,Clean Behaviour,35
804,SmallCorp,Construction,Asia,Overdraft,1463092,8,2.94,6.01,10.7,23,2,0,0.47,0,Mild Deterioration,55
805,SmallCorp,Construction,Europe,Overdraft,963821,10,4.2,2.58,17.9,21,6,0,0.77,0,Mild Deterioration,55
806,MidCorp,Manufacturing,GCC,Revolver,7063730,8,1.86,0.34,20.3,19,3,0,0.91,0,Mild Deterioration,55
807,MidCorp,Manufacturing,Asia,TermLoan,7698934,5,2.01,6.47,12.4,13,0,0,0.81,0,Clean Behaviour,35
808,SmallCorp,Services,Europe,Overdraft,2642180,3,1.69,2.13,18.2,12,0,0,0.64,0,Clean Behaviour,35
809,MidCorp,Services,GCC,TradeFinance,4973756,8,2.65,0.84,10.8,18,2,1,0.93,0,Restructured Account,95
810,SmallCorp,Services,GCC,Overdraft,1578605,7,1.57,3.88,9.2,12,1,0,0.52,0,Mild Deterioration,55
811,SmallCorp,Retail,GCC,TermLoan,1877097,4,0.42,4.31,25.1,16,1,0,0.74,0,Mild Deterioration,55
812,MidCorp,Retail,Asia,Overdraft,9167539,1,2.3,4.39,29.7,16,0,0,0.7,0,Clean Behaviour,35
813,LargeCorp,Construction,Europe,TradeFinance,51667419,2,2.96,4.24,9.8,10,0,0,0.81,0,Clean Behaviour,35
814,SmallCorp,Manufacturing,GCC,Revolver,4225941,2,1.17,6.15,35.4,19,0,0,0.73,0,Clean Behaviour,35
815,LargeCorp,Construction,Asia,TermLoan,61285203,4,1.23,6.19,18.9,17,0,0,0.62,0,Clean Behaviour,35
816,MidCorp,Construction,Asia,TermLoan,7872589,6,2.9,5.5,30.6,2,0,0,0.63,0,Clean Behaviour,35
817,LargeCorp,Construction,Europe,Overdraft,98987257,8,2.25,1.39,8.3,21,2,0,0.48,0,Mild Deterioration,55
818,MidCorp,Transport,Asia,Revolver,9134059,5,1.79,4.67,16.6,14,0,0,0.77,0,Clean Behaviour,35
819,SmallCorp,Manufacturing,Europe,TermLoan,2083179,4,1.36,2.99,6.4,10,0,0,0.79,0,Clean Behaviour,35
820,MidCorp,Manufacturing,Asia,TermLoan,9973915,6,2.36,1.85,10.8,11,0,0,1.07,0,Clean Behaviour,35
821,LargeCorp,Services,Asia,TermLoan,37610926,2,1.18,8.91,15.1,1,0,0,0.97,0,Clean Behaviour,35
822,LargeCorp,Construction,Asia,Revolver,27346622,8,1.48,4.32,14.2,11,3,0,0.69,0,Mild Deterioration,55
823,SmallCorp,Energy,GCC,Overdraft,2288549,9,2.87,0.1,6.9,18,3,0,0.67,0,Mild Deterioration,55
824,SmallCorp,Retail,GCC,Overdraft,2569467,4,1.17,6.21,31.1,14,0,0,0.66,0,Clean Behaviour,35
825,MidCorp,Energy,GCC,TermLoan,9178517,4,1.62,6.7,30.4,9,1,0,0.95,0,Mild Deterioration,55
826,SmallCorp,Energy,GCC,TradeFinance,1115091,4,2.36,7.34,13.5,14,1,0,0.8,0,Mild Deterioration,55
827,LargeCorp,Services,Asia,Overdraft,53126209,3,0.2,6.1,21.2,23,0,0,0.91,0,Clean Behaviour,35
828,SmallCorp,Services,GCC,TermLoan,655307,5,3.09,2.8,27.9,11,0,0,0.88,0,Clean Behaviour,35
829,MidCorp,Construction,GCC,TradeFinance,10595176,10,2.84,3.67,11.1,7,4,0,0.69,0,Mild Deterioration,55
830,SmallCorp,Retail,Europe,Revolver,868256,5,1.47,0.95,23.1,11,0,0,0.77,0,Clean Behaviour,35
831,MidCorp,Energy,GCC,TermLoan,4776922,6,0.96,4.66,17.3,15,0,0,0.73,0,Clean Behaviour,35
832,SmallCorp,Transport,Asia,TermLoan,2185633,3,2.57,4.27,14,11,0,0,1,0,Clean Behaviour,35
833,MidCorp,Services,Africa,TermLoan,9219079,3,1.98,7.08,24.1,15,0,0,0.78,0,Clean Behaviour,35
834,MidCorp,Manufacturing,Europe,TermLoan,3811536,5,2.9,6.14,22.2,25,0,0,0.82,0,Clean Behaviour,35
835,SmallCorp,Retail,Asia,TermLoan,3204780,8,1.55,3.14,5.7,10,2,0,0.68,0,Mild Deterioration,55
836,LargeCorp,Retail,GCC,Overdraft,43532681,4,1.49,4.54,16.5,13,0,0,0.72,0,Clean Behaviour,35
837,LargeCorp,Retail,GCC,Revolver,84574689,6,2.24,2.17,19.7,6,0,0,0.81,0,Clean Behaviour,35
838,LargeCorp,Manufacturing,GCC,TradeFinance,62155716,7,2.19,5.66,22.3,10,1,0,0.85,0,Mild Deterioration,55
839,SmallCorp,Services,Europe,TermLoan,2016227,4,1.28,4.06,28.5,17,0,0,0.58,0,Clean Behaviour,35
840,MidCorp,Transport,GCC,Overdraft,6053205,4,2.07,4.65,30.8,19,0,0,0.64,0,Clean Behaviour,35
841,SmallCorp,Services,GCC,Overdraft,580796,2,0.87,5.25,23.7,14,0,0,1.03,0,Clean Behaviour,35
842,MidCorp,Construction,GCC,Revolver,6939389,3,2.52,6.83,27.3,16,0,0,0.9,0,Clean Behaviour,35
843,MidCorp,Construction,GCC,Overdraft,5320722,8,1.1,2.65,21.7,19,2,0,0.69,1,Mild Deterioration,55
844,MidCorp,Construction,Asia,TradeFinance,14039224,2,0.75,6.4,21.4,12,1,0,1.08,0,Mild Deterioration,55
845,SmallCorp,Transport,Africa,Revolver,890417,6,0.3,5.36,19.2,5,0,0,0.89,0,Clean Behaviour,35
846,SmallCorp,Services,Africa,Revolver,3570378,6,2.47,3.4,5.2,9,0,0,0.72,0,Clean Behaviour,35
847,LargeCorp,Transport,GCC,TermLoan,11128289,7,1.57,4.32,14.2,22,1,0,0.67,0,Mild Deterioration,55
848,LargeCorp,Manufacturing,GCC,TermLoan,130607628,3,2.25,2.53,13.9,11,0,0,1,0,Clean Behaviour,35
849,LargeCorp,Services,GCC,Overdraft,45974968,3,1.35,4.55,17.1,13,0,0,0.81,0,Clean Behaviour,35
850,MidCorp,Transport,GCC,Overdraft,6792069,6,2.51,3.71,18,12,0,0,0.57,0,Clean Behaviour,35
851,MidCorp,Services,Asia,TermLoan,5312892,3,1.49,3.26,17.2,8,0,0,0.89,0,Clean Behaviour,35
852,SmallCorp,Services,Africa,TermLoan,1951522,1,0.7,5.56,21.3,6,0,0,1.07,0,Clean Behaviour,35
853,SmallCorp,Manufacturing,Africa,Overdraft,904176,10,2.25,0.28,22.9,14,4,0,0.43,1,Mild Deterioration,55
854,LargeCorp,Retail,GCC,TradeFinance,125532263,8,0.65,2.2,16.7,9,2,0,0.91,0,Mild Deterioration,55
855,SmallCorp,Services,GCC,TermLoan,982863,3,1.78,5.38,25.8,14,0,0,0.83,0,Clean Behaviour,35
856,MidCorp,Services,GCC,TermLoan,15605264,3,1.53,4.97,22.8,21,0,0,0.58,0,Clean Behaviour,35
857,MidCorp,Services,Asia,Revolver,8038559,6,2.56,4.26,14.9,10,0,0,1.01,0,Clean Behaviour,35
858,MidCorp,Services,Asia,Revolver,6281785,4,1.05,0.94,15.4,21,0,0,0.83,0,Clean Behaviour,35
859,SmallCorp,Retail,GCC,TermLoan,2556222,8,2.47,3.33,2.1,17,3,0,0.56,0,Mild Deterioration,55
860,SmallCorp,Services,Asia,Revolver,1930039,4,1.48,4.52,27.5,23,0,0,0.79,0,Clean Behaviour,35
861,SmallCorp,Manufacturing,Asia,Revolver,2276873,9,1.88,2.99,7.9,8,4,0,0.3,0,Mild Deterioration,55
862,SmallCorp,Manufacturing,Asia,TradeFinance,1412923,6,1.6,3.28,10.7,13,0,0,0.77,0,Clean Behaviour,35
863,SmallCorp,Transport,Europe,TermLoan,1737871,5,2.27,4.95,16.4,12,0,0,0.91,0,Clean Behaviour,35
864,SmallCorp,Transport,GCC,Revolver,1362019,8,2.97,1.05,15,9,2,0,0.59,0,Mild Deterioration,55
865,LargeCorp,Construction,GCC,Overdraft,25481356,2,2.07,6.22,24.5,13,1,0,0.48,0,Mild Deterioration,55
866,SmallCorp,Construction,Africa,TermLoan,1600165,3,2.06,2.52,11.6,20,0,0,0.86,0,Clean Behaviour,35
867,SmallCorp,Services,GCC,TermLoan,1084374,5,1.55,4.15,10.7,13,0,0,0.84,1,Clean Behaviour,35
868,LargeCorp,Transport,GCC,TermLoan,57532880,2,1.9,5.64,20.2,8,0,0,1.03,0,Clean Behaviour,35
869,SmallCorp,Construction,GCC,TermLoan,1052998,3,2.12,6.34,21.8,12,0,0,0.81,0,Clean Behaviour,35
870,SmallCorp,Transport,Europe,TermLoan,4359050,5,2.42,4.64,17.7,17,0,0,1.04,0,Clean Behaviour,35
871,LargeCorp,Construction,Asia,Overdraft,100649649,7,2.61,2.6,10.9,15,1,0,0.56,0,Mild Deterioration,55
872,MidCorp,Manufacturing,GCC,Overdraft,12177648,7,1.61,1.79,19,16,1,0,0.94,0,Mild Deterioration,55
873,MidCorp,Transport,GCC,TermLoan,6202359,7,2.37,3.15,18.9,7,1,0,0.77,0,Mild Deterioration,55
874,LargeCorp,Services,Asia,Revolver,92759050,8,1.86,1.66,32.3,9,3,0,0.88,0,Mild Deterioration,55
875,LargeCorp,Retail,GCC,Revolver,70319737,8,2.91,2.64,12.4,20,2,0,0.85,1,Mild Deterioration,55
876,MidCorp,Services,GCC,Revolver,9447800,5,1.67,1.67,12.6,12,0,0,0.65,0,Clean Behaviour,35
877,SmallCorp,Transport,Africa,Overdraft,1998301,7,1.09,3.04,22.5,16,1,0,0.62,0,Mild Deterioration,55
878,MidCorp,Services,Africa,TermLoan,10104417,10,2.05,2.82,16.6,8,5,0,0.67,1,Mild Deterioration,55
879,MidCorp,Construction,GCC,Revolver,14964639,6,3.56,2.7,15.6,14,1,0,0.73,0,Mild Deterioration,55
880,SmallCorp,Transport,Europe,Revolver,1912628,7,2.46,3.26,10.7,18,1,0,0.59,0,Mild Deterioration,55
881,SmallCorp,Manufacturing,Europe,Revolver,1940887,6,1.34,1.97,12.6,18,0,0,0.8,0,Clean Behaviour,35
882,SmallCorp,Energy,Asia,Revolver,1416647,9,2.1,3.58,17.9,6,3,0,0.5,1,Mild Deterioration,55
883,LargeCorp,Retail,GCC,TradeFinance,57940764,5,1.28,2.15,22.8,13,0,0,0.8,0,Clean Behaviour,35
884,MidCorp,Retail,GCC,Revolver,10250896,4,1.72,5.84,21.8,7,0,0,0.65,0,Clean Behaviour,35
885,MidCorp,Manufacturing,GCC,TermLoan,8122923,3,0.2,4.85,21.4,14,0,1,0.67,0,Restructured Account,95
886,SmallCorp,Services,Europe,Overdraft,646261,2,0.68,3.95,29.8,11,0,0,0.82,0,Clean Behaviour,35
887,SmallCorp,Retail,GCC,TradeFinance,778363,7,1.88,0.84,9.8,14,1,0,0.82,0,Mild Deterioration,55
888,MidCorp,Manufacturing,GCC,Revolver,2744886,4,1.94,4.65,13.6,17,0,0,0.92,0,Clean Behaviour,35
889,MidCorp,Transport,GCC,Revolver,14622423,2,2.01,5.26,24.4,12,0,0,0.91,0,Clean Behaviour,35
890,SmallCorp,Services,Europe,TermLoan,2146117,6,1.6,3.87,14,5,0,0,0.47,0,Clean Behaviour,35
891,SmallCorp,Retail,Asia,TermLoan,1076935,6,2.81,3.73,21.4,8,0,0,0.62,0,Clean Behaviour,35
892,MidCorp,Services,Asia,TermLoan,10553604,5,3.43,2.18,20.5,17,0,0,0.85,0,Clean Behaviour,35
893,MidCorp,Retail,GCC,Revolver,17287001,9,2.53,0.13,6.6,16,3,0,0.88,0,Mild Deterioration,55
894,LargeCorp,Retail,GCC,Overdraft,49540980,6,2.21,2.06,11.1,21,0,0,1.05,0,Clean Behaviour,35
895,LargeCorp,Transport,Europe,TermLoan,19704459,9,2.45,0.1,11.2,2,3,0,0.81,1,Mild Deterioration,55
896,LargeCorp,Retail,Africa,Overdraft,200000000,5,1.81,5.75,6.8,17,1,0,0.55,1,Mild Deterioration,55
897,LargeCorp,Manufacturing,GCC,Revolver,49367193,8,2.64,4.99,23.4,18,3,0,0.77,0,Mild Deterioration,55
898,SmallCorp,Construction,GCC,Revolver,3348583,7,2.63,1.08,13.9,17,1,0,0.85,0,Mild Deterioration,55
899,MidCorp,Manufacturing,Europe,TermLoan,8556605,6,2.08,0.44,9.4,3,0,0,0.58,0,Clean Behaviour,35
900,LargeCorp,Manufacturing,GCC,Revolver,110940883,1,2.44,6.86,16.6,11,0,0,1.15,0,Clean Behaviour,35
901,SmallCorp,Construction,Europe,Overdraft,1965415,7,3.47,1.24,23.7,11,4,0,0.78,0,Mild Deterioration,55
902,LargeCorp,Energy,Europe,TradeFinance,39589004,7,2.01,4.97,19.9,3,2,0,0.79,0,Mild Deterioration,55
903,MidCorp,Construction,GCC,TermLoan,4802736,3,0.56,6.85,13.2,18,0,0,1.1,0,Clean Behaviour,35
904,LargeCorp,Transport,Africa,TermLoan,145220145,8,2.89,4.8,11.6,5,2,0,0.53,0,Mild Deterioration,55
905,SmallCorp,Retail,Europe,Overdraft,2477661,5,2.51,5.63,24.1,18,0,0,0.8,0,Clean Behaviour,35
906,LargeCorp,Retail,Africa,Revolver,89206978,5,2.07,3.78,11.9,8,0,0,0.27,0,Clean Behaviour,35
907,SmallCorp,Services,Europe,Overdraft,2151728,10,2.82,1.06,12.8,10,4,0,0.42,0,Mild Deterioration,55
908,SmallCorp,Retail,Africa,TermLoan,2699082,4,1.44,4.36,19.8,9,0,0,0.9,0,Clean Behaviour,35
909,SmallCorp,Transport,Europe,TermLoan,858313,2,1.42,3.01,14.4,2,0,0,0.91,0,Clean Behaviour,35
910,SmallCorp,Retail,Europe,Overdraft,3670638,3,1.69,3.71,21.8,9,1,0,0.79,0,Mild Deterioration,55
911,LargeCorp,Services,Africa,Overdraft,96439326,7,2.74,4.73,7.2,9,1,0,0.36,0,Mild Deterioration,55
912,SmallCorp,Construction,Africa,TradeFinance,2007801,7,2.7,4.27,18.6,9,2,0,0.61,0,Mild Deterioration,55
913,SmallCorp,Manufacturing,Africa,TermLoan,1202714,3,1.29,4.72,22.8,14,0,0,1.15,0,Clean Behaviour,35
914,MidCorp,Transport,GCC,TradeFinance,16234833,5,2,2.87,35.5,17,0,0,0.68,0,Clean Behaviour,35
915,SmallCorp,Construction,GCC,TermLoan,1304635,3,2.15,6.48,20.8,4,0,0,0.93,0,Clean Behaviour,35
916,SmallCorp,Services,GCC,TermLoan,1941131,6,2.46,5.71,20.3,5,0,0,0.6,0,Clean Behaviour,35
917,SmallCorp,Services,GCC,TradeFinance,3557849,3,0.96,3.03,14.1,1,0,0,0.83,0,Clean Behaviour,35
918,SmallCorp,Construction,Asia,TermLoan,1351437,7,0.54,3.24,18,18,1,0,0.51,0,Mild Deterioration,55
919,MidCorp,Services,Africa,Overdraft,4658395,8,2.72,4.18,16.2,10,2,0,0.52,0,Mild Deterioration,55
920,MidCorp,Retail,Asia,TermLoan,16272571,5,2.3,4.06,17.1,19,1,0,0.83,0,Mild Deterioration,55
921,MidCorp,Services,GCC,TermLoan,16920786,7,2.49,4.66,22.5,10,1,0,0.52,1,Mild Deterioration,55
922,LargeCorp,Transport,Asia,TermLoan,24428443,7,3.23,0.57,13.6,10,1,0,0.66,0,Mild Deterioration,55
923,MidCorp,Energy,GCC,TradeFinance,9024600,3,1.08,4.71,21.5,11,0,0,0.69,0,Clean Behaviour,35
924,MidCorp,Services,Asia,Revolver,9669078,7,1.85,2.28,26.2,9,2,0,0.72,0,Mild Deterioration,55
925,LargeCorp,Construction,Asia,Overdraft,200000000,2,3.36,4.86,9.4,8,0,0,0.86,0,Clean Behaviour,35
926,LargeCorp,Manufacturing,Asia,TradeFinance,56164339,10,2.06,0.75,7.3,17,4,0,0.83,0,Mild Deterioration,55
927,MidCorp,Manufacturing,GCC,TermLoan,8736709,6,2.84,4.72,12.4,10,0,0,0.62,0,Clean Behaviour,35
928,LargeCorp,Transport,Asia,Revolver,34960766,10,3.88,0.1,2.8,13,4,0,0.65,0,Mild Deterioration,55
929,SmallCorp,Transport,Africa,Overdraft,1071755,5,3.06,2.69,11.4,1,0,0,0.54,0,Clean Behaviour,35
930,MidCorp,Energy,GCC,TermLoan,10739895,5,2.58,4.5,9.3,8,0,0,0.68,0,Clean Behaviour,35
931,MidCorp,Retail,GCC,TermLoan,10163407,4,1.94,5,15.5,22,0,0,0.48,0,Clean Behaviour,35
932,LargeCorp,Construction,GCC,TradeFinance,28578263,3,1.79,4.86,8.4,20,0,0,0.88,0,Clean Behaviour,35
933,MidCorp,Transport,Africa,Overdraft,7902060,7,3.47,2.24,11.3,17,1,0,0.54,0,Mild Deterioration,55
934,LargeCorp,Manufacturing,GCC,TermLoan,43636782,3,0.84,5.5,10.8,10,0,0,0.91,0,Clean Behaviour,35
935,LargeCorp,Retail,Asia,TermLoan,60547729,2,0.76,7.17,19.7,7,0,0,0.88,0,Clean Behaviour,35
936,MidCorp,Services,Europe,Overdraft,4948716,5,2.52,4.48,13.3,16,1,0,0.71,0,Mild Deterioration,55
937,SmallCorp,Transport,GCC,TermLoan,1909113,8,2.65,5.72,19.6,16,2,0,0.72,0,Mild Deterioration,55
938,MidCorp,Services,GCC,Overdraft,5675852,3,0.75,4.72,6.5,10,0,0,0.73,0,Clean Behaviour,35
939,LargeCorp,Manufacturing,GCC,TradeFinance,51376512,4,1.45,5.41,19.6,18,0,0,0.92,0,Clean Behaviour,35
940,LargeCorp,Energy,Europe,TermLoan,44945537,4,1.49,4.44,17.8,13,0,0,0.99,0,Clean Behaviour,35
941,SmallCorp,Retail,GCC,TermLoan,1808761,9,3.13,2.27,18.9,11,3,0,0.67,0,Mild Deterioration,55
942,SmallCorp,Energy,Europe,Overdraft,657863,3,1.61,5.16,28.8,24,0,0,0.74,0,Clean Behaviour,35
943,SmallCorp,Retail,GCC,TermLoan,1072472,1,1.6,7.13,25.7,1,1,0,0.83,0,Mild Deterioration,55
944,MidCorp,Services,GCC,Revolver,5827127,3,0.78,4.23,4.2,14,0,0,0.76,0,Clean Behaviour,35
945,MidCorp,Construction,Europe,TermLoan,3493392,7,2.57,1.08,22.5,7,1,0,0.8,0,Mild Deterioration,55
946,SmallCorp,Manufacturing,Asia,Overdraft,2757938,2,2.7,4.49,20.5,9,1,0,0.88,0,Mild Deterioration,55
947,MidCorp,Retail,GCC,TermLoan,9660337,5,1.9,3.21,15.7,18,0,0,0.78,0,Clean Behaviour,35
948,SmallCorp,Services,Europe,Overdraft,1747209,7,1.94,3.18,13.7,12,2,0,0.82,0,Mild Deterioration,55
949,MidCorp,Retail,Europe,Overdraft,3913874,6,3.51,6.16,28.1,10,0,0,0.33,0,Clean Behaviour,35
950,MidCorp,Retail,Asia,TermLoan,6919924,4,0.57,4.44,4.3,15,0,0,0.88,0,Clean Behaviour,35
951,LargeCorp,Manufacturing,GCC,TermLoan,35246955,7,1.81,4.63,14.3,10,1,0,0.63,0,Mild Deterioration,55
952,LargeCorp,Retail,GCC,TermLoan,106177515,5,2.16,3.35,23.5,12,1,0,1.03,0,Mild Deterioration,55
953,SmallCorp,Retail,Europe,TradeFinance,2657036,8,1.7,2.36,17.2,18,2,0,0.63,0,Mild Deterioration,55
954,MidCorp,Retail,GCC,Overdraft,3626461,5,3.5,3.95,26.3,17,0,0,0.59,0,Clean Behaviour,35
955,SmallCorp,Manufacturing,Africa,TermLoan,952014,5,1.8,2.55,15.4,7,0,0,0.74,0,Clean Behaviour,35
956,MidCorp,Retail,GCC,TermLoan,9883165,5,1.89,3.07,14.9,11,0,0,0.63,0,Clean Behaviour,35
957,LargeCorp,Retail,GCC,TermLoan,55418787,5,0.2,4.68,19,10,0,0,0.68,0,Clean Behaviour,35
958,MidCorp,Retail,GCC,Overdraft,6242491,2,0.2,6.06,20.9,12,0,0,0.82,0,Clean Behaviour,35
959,MidCorp,Manufacturing,GCC,TermLoan,8905525,7,3.65,5.04,12.8,12,1,0,0.92,0,Mild Deterioration,55
960,SmallCorp,Services,Europe,TermLoan,2684823,6,2.97,4.6,13.4,16,0,0,0.8,0,Clean Behaviour,35
961,LargeCorp,Services,Africa,TradeFinance,22636164,4,2.62,5.21,22.9,13,0,0,0.79,0,Clean Behaviour,35
962,SmallCorp,Services,GCC,Overdraft,1474208,3,1.71,3.9,29,12,1,0,0.62,0,Mild Deterioration,55
963,MidCorp,Services,Europe,Revolver,7074326,2,2.39,6.48,27.8,11,0,0,1.01,0,Clean Behaviour,35
964,MidCorp,Manufacturing,GCC,TermLoan,10807388,7,2.74,1.84,11.9,16,1,0,0.75,0,Mild Deterioration,55
965,MidCorp,Construction,Asia,TermLoan,5649559,3,2.05,4.67,11.2,25,0,0,0.76,0,Clean Behaviour,35
966,MidCorp,Energy,Europe,TermLoan,7672208,10,2.97,4.63,9.9,16,4,0,0.59,0,Mild Deterioration,55
967,MidCorp,Manufacturing,Asia,TermLoan,8479124,9,3.02,1.64,14.1,4,3,0,0.75,0,Mild Deterioration,55
968,MidCorp,Construction,Asia,Overdraft,5954035,4,1.56,5.61,22.2,12,0,0,0.86,0,Clean Behaviour,35
969,MidCorp,Construction,GCC,TermLoan,5418405,5,3.06,2.35,19.8,17,0,0,1.03,0,Clean Behaviour,35
970,MidCorp,Construction,GCC,Revolver,8074638,3,1.97,3.64,26.2,8,0,0,0.99,0,Clean Behaviour,35
971,MidCorp,Energy,Africa,Overdraft,5815285,2,1.82,7.04,31.4,21,0,0,0.62,0,Clean Behaviour,35
972,SmallCorp,Services,Asia,TermLoan,1741817,10,2.88,3.65,17.1,8,5,0,0.51,0,Mild Deterioration,55
973,LargeCorp,Services,GCC,Revolver,28432158,3,0.83,4.04,26.1,10,0,0,0.56,0,Clean Behaviour,35
974,MidCorp,Services,GCC,TradeFinance,6264607,6,1.01,2.74,10.2,13,0,0,0.91,0,Clean Behaviour,35
975,MidCorp,Services,GCC,Overdraft,7256333,3,1.68,3.8,34.7,19,0,0,0.85,0,Clean Behaviour,35
976,LargeCorp,Manufacturing,Africa,TradeFinance,46753459,2,1.82,5.84,30,5,0,0,0.72,0,Clean Behaviour,35
977,MidCorp,Services,Europe,TradeFinance,8160276,3,0.25,6.79,21.2,8,1,0,0.69,0,Mild Deterioration,55
978,LargeCorp,Transport,Europe,TradeFinance,49651566,9,3.31,2.21,12.9,8,3,1,0.74,1,Restructured Account,95
979,MidCorp,Services,Europe,TermLoan,17980762,7,2.38,3.4,22.5,21,1,0,0.76,0,Mild Deterioration,55
980,SmallCorp,Manufacturing,GCC,Overdraft,2243950,4,2.05,3.69,20.2,8,0,0,0.54,0,Clean Behaviour,35
981,MidCorp,Construction,Africa,TradeFinance,7743513,7,2.41,1.79,19.1,9,1,0,0.85,0,Mild Deterioration,55
982,MidCorp,Manufacturing,Europe,Overdraft,11223956,5,2.99,5.82,25.5,11,0,0,0.64,0,Clean Behaviour,35
983,LargeCorp,Retail,Asia,TermLoan,39439415,5,1.68,5.61,20.5,11,0,0,0.7,0,Clean Behaviour,35
984,MidCorp,Services,Asia,TermLoan,16041879,8,1.33,4.66,12.9,12,2,0,0.78,0,Mild Deterioration,55
985,SmallCorp,Manufacturing,GCC,TermLoan,1604837,3,2.1,6.6,32.2,8,1,0,0.56,0,Mild Deterioration,55
986,MidCorp,Energy,Europe,Revolver,5909232,7,2.81,2.62,24.5,21,1,0,0.52,0,Mild Deterioration,55
987,LargeCorp,Transport,Asia,Revolver,58290785,6,2.87,2.79,8.1,9,0,0,0.64,0,Clean Behaviour,35
988,MidCorp,Manufacturing,Asia,Overdraft,14419653,9,3.49,2.63,15.7,15,3,0,0.8,0,Mild Deterioration,55
989,SmallCorp,Services,GCC,TradeFinance,1313343,6,2.37,3.28,5.7,3,0,0,0.77,0,Clean Behaviour,35
990,LargeCorp,Services,Africa,TermLoan,95447233,9,2.78,0.63,12.9,15,3,0,0.55,0,Mild Deterioration,55
991,MidCorp,Energy,GCC,Overdraft,3828971,4,2.9,5.16,15.7,11,0,0,0.96,0,Clean Behaviour,35
992,LargeCorp,Transport,Asia,TermLoan,32479345,8,1.3,2.11,13.8,18,2,0,0.68,0,Mild Deterioration,55
993,MidCorp,Services,Europe,Overdraft,21866118,10,3.42,0.1,17.4,16,4,0,0.34,0,Mild Deterioration,55
994,LargeCorp,Construction,Africa,TermLoan,36248884,9,2.66,3.47,6.6,9,3,0,1.01,1,Mild Deterioration,55
995,SmallCorp,Retail,Asia,TermLoan,3216967,1,2.73,3.71,20.4,12,0,0,1.01,0,Clean Behaviour,35
996,MidCorp,Services,GCC,TermLoan,2466413,2,2.04,6.61,25.5,9,0,0,1.02,0,Clean Behaviour,35
997,SmallCorp,Manufacturing,Europe,TermLoan,623448,6,2.4,3.71,26.7,13,1,0,0.64,0,Mild Deterioration,55
998,MidCorp,Manufacturing,GCC,Revolver,4453464,8,3.68,0.1,13.7,14,2,0,0.54,0,Mild Deterioration,55
999,LargeCorp,Transport,Asia,Overdraft,53935202,5,1.41,3.89,22.8,15,0,0,0.51,0,Clean Behaviour,35
1000,MidCorp,Energy,Europe,TradeFinance,3158678,3,2.09,2.32,15.1,6,0,0,0.89,0,Clean Behaviour,35
1001,LargeCorp,Transport,GCC,Overdraft,17718277,1,2.39,5.46,13.7,9,1,0,0.45,0,Mild Deterioration,55
1002,MidCorp,Manufacturing,GCC,TradeFinance,8183663,6,1.05,2.93,12.9,19,0,0,0.69,0,Clean Behaviour,35
1003,MidCorp,Transport,Europe,Overdraft,24031769,5,2.62,5.45,22.8,19,0,0,0.62,0,Clean Behaviour,35
1004,SmallCorp,Manufacturing,Africa,TermLoan,1407449,3,0.6,5.71,16.2,6,1,1,0.67,0,Restructured Account,95
1005,MidCorp,Manufacturing,Africa,TradeFinance,9113458,6,1.81,4.14,13.9,7,1,0,0.67,0,Mild Deterioration,55
1006,LargeCorp,Services,GCC,TradeFinance,120366322,9,1.65,3.04,8.2,12,3,0,1.06,0,Mild Deterioration,55
1007,MidCorp,Manufacturing,GCC,Overdraft,3654852,8,3.05,1.69,19.2,4,2,0,0.57,1,Mild Deterioration,55
